행정구역코드,행정동코드,시군구명,행정동명,1인세대비율,기초생활수급자비율,외국인비율,노령층비율,장애인비율,차상위비율
1108082,11290555,성북구,삼선동,0.003028964989360249,0.002331316778908847,0.0018951579065148675,0.002408785784323779,0.0023047310302907508,0.004854053913743202
1108083,11290575,성북구,동선동,0.0033446527255824236,0.001314392249236442,0.00206299476908445,0.0013549420036821258,0.002998683010839834,0.0011810665939856455
1108058,11290580,성북구,돈암1동,0.0009578078479868894,0.0016014831878854543,0.0004732067097447947,0.0017891343687912128,0.0027884712795056225,0.0008695765032641565
1108059,11290590,성북구,돈암2동,0.000892828362573249,0.0009650406250972823,0.0005990843566719815,0.002225944979318043,0.003211427413635903,0.0051136289893444434
1108060,11290600,성북구,안암동,0.0035150320062339374,0.0012417547828312702,0.005468684438725559,0.0012825038804578962,0.0023933745314557798,0.0025243676102220665
1108061,11290610,성북구,보문동,0.002000549511553813,0.001314392249236442,0.0014895521553050435,0.0015347281890338283,0.0027580792219633267,0.0026736232786927798
1108062,11290620,성북구,정릉1동,0.0011982831089665039,0.0010895619960775767,0.000680671720421084,0.0019030280444630437,0.006270894539560329,0.002329686303521136
1108063,11290630,성북구,정릉2동,0.0017554694051511847,0.0018159366601292947,0.0010023590403461168,0.0027447939462674946,0.0,0.003997456164259108
1108064,11290640,성북구,정릉3동,0.0023566575576002206,0.001968129446882988,0.0039884565535632695,0.0019684841799066247,0.0018817748961604702,0.0004088307440719542
1108065,11290650,성북구,정릉4동,0.002014364047822855,0.0021341579415233808,0.0016946860984456442,0.0029529444569780824,0.005014689494478777,0.0028942620929538346
1108066,11290660,성북구,길음1동,0.0013062411516616074,0.0015703528451403805,0.0008951299337044393,0.002750030437102981,0.00249214871846824,0.0017715998909784683
1108068,11290685,성북구,길음2동,0.0012857751720037679,0.0013835707886699388,0.0006760095853497067,0.001615457422747578,0.0030873265120048626,0.0028163895702734624
1108084,11290705,성북구,종암동,0.003499682521490558,0.0037391000563805096,0.0050234505394090275,0.004130282146489958,0.0020717252557998175,0.0014925566847071344
1108071,11290715,성북구,월곡1동,0.0017917965190438498,0.002642620206359583,0.0011095881469877944,0.0029245801316191973,0.004201701955222369,6.489376890031019e-06
1108072,11290725,성북구,월곡2동,0.0024600107548723104,0.0020961097448349572,0.001871847231157981,0.0022346724640438537,0.0028365920372809238,0.004231073732300225
1108076,11290760,성북구,장위1동,0.002090599822048307,0.004306364079735185,0.001079284269023842,0.0026038450679456504,0.0014081653327930302,0.0007397889654635362
1108077,11290770,성북구,장위2동,0.0015206222885774763,0.002608030936642835,0.0010489803910598897,0.0018716090994501248,0.0027783405936581906,0.0031603265454451064
1108078,11290780,성북구,장위3동,0.0010903250662714003,0.0013662761538115646,0.0006200639644931793,0.0014203981391257068,0.0030316077398439873,0.0066321431816117014
1108085,11290810,성북구,석관동,0.003790299432631879,0.004800990636684687,0.0033077848331421857,0.004427453001403816,0.0056377266740958365,0.0021414943737102362
1109069,11305534,강북구,삼양동,0.002381728382681074,0.004327117641565233,0.0010023590403461168,0.0030537469055611968,0.0034368351737412623,0.0015185141922672584
